Year,Campus,Discipline,Net Stipend,Source
2010,Davis,Life Sciences,8880,kt-scrape-excel
2010,Davis,Other,10886,kt-scrape-excel
2010,Davis,Physical Sciences,16082,kt-scrape-excel
2010,Davis,Professional,5209,kt-scrape-excel
2010,Davis,Social Sciences,7795,kt-scrape-excel
2010,Irvine,Engineering & CS,-14240,kt-scrape-excel
2010,Irvine,Fine Arts,8367,kt-scrape-excel
2010,Irvine,Humanities,9461,kt-scrape-excel
2010,Irvine,Life Sciences,-10123,kt-scrape-excel
2010,Irvine,Other,3764,kt-scrape-excel
2010,Irvine,Physical Sciences,-12879,kt-scrape-excel
2010,Irvine,Social Sciences,-5823,kt-scrape-excel
2010,Los Angeles,Engineering & CS,-8757,kt-scrape-excel
2010,Los Angeles,Fine Arts,2788,kt-scrape-excel
2010,Los Angeles,Health Sciences,7638,kt-scrape-excel
2010,Los Angeles,Humanities,3854,kt-scrape-excel
2010,Los Angeles,Life Sciences,3098,kt-scrape-excel
2010,Los Angeles,Other,-15517,kt-scrape-excel
2010,Los Angeles,Physical Sciences,-3242,kt-scrape-excel
2010,Los Angeles,Social Sciences,13241,kt-scrape-excel
2010,Merced,Engineering & CS,19115,kt-scrape-excel
2010,Merced,Joint/Unknown,16305,kt-scrape-excel
2010,Merced,Life Sciences,20985,kt-scrape-excel
2010,Merced,Other,7708,kt-scrape-excel
2010,Merced,Physical Sciences,16767,kt-scrape-excel
2010,Merced,Social Sciences,16901,kt-scrape-excel
2010,Riverside,Engineering & CS,-10281,kt-scrape-excel
2010,Riverside,Fine Arts,2087,kt-scrape-excel
2010,Riverside,Humanities,6404,kt-scrape-excel
2010,Riverside,Life Sciences,2497,kt-scrape-excel
2010,Riverside,Physical Sciences,11932,kt-scrape-excel
2010,Riverside,Social Sciences,-8977,kt-scrape-excel
2010,San Diego,Engineering & CS,-7227,kt-scrape-excel
2010,San Diego,Fine Arts,9365,kt-scrape-excel
2010,San Diego,Humanities,11401,kt-scrape-excel
2010,San Diego,Life Sciences,3658,kt-scrape-excel
2010,San Diego,Other,398,kt-scrape-excel
2010,San Diego,Physical Sciences,-1615,kt-scrape-excel
2010,San Diego,Social Sciences,-1054,kt-scrape-excel
2010,San Francisco,Health Sciences,14747,kt-scrape-excel
2010,San Francisco,Life Sciences,17752,kt-scrape-excel
2010,San Francisco,Other,-26627,kt-scrape-excel
2010,San Francisco,Social Sciences,7228,kt-scrape-excel
2010,Santa Barbara,Engineering & CS,-8066,kt-scrape-excel
2010,Santa Barbara,Fine Arts,7708,kt-scrape-excel
2010,Santa Barbara,Humanities,-4872,kt-scrape-excel
2010,Santa Barbara,Life Sciences,-7897,kt-scrape-excel
2010,Santa Barbara,Other,5917,kt-scrape-excel
2010,Santa Barbara,Physical Sciences,-30,kt-scrape-excel
2010,Santa Barbara,Social Sciences,-17941,kt-scrape-excel
2010,Santa Cruz,Engineering & CS,1886,kt-scrape-excel
2010,Santa Cruz,Fine Arts,15926,kt-scrape-excel
2010,Santa Cruz,Humanities,10225,kt-scrape-excel
2010,Santa Cruz,Life Sciences,12099,kt-scrape-excel
2010,Santa Cruz,Physical Sciences,8383,kt-scrape-excel
2010,Santa Cruz,Social Sciences,-5019,kt-scrape-excel
2011,Systemwide,Engineering & CS,-8994,kt-scrape-excel
2011,Systemwide,Fine Arts,9055,kt-scrape-excel
2011,Systemwide,Health Sciences,1284,kt-scrape-excel
2011,Systemwide,Humanities,7631,kt-scrape-excel
2011,Systemwide,Life Sciences,1435,kt-scrape-excel
2011,Systemwide,Other,6828,kt-scrape-excel
2011,Systemwide,Physical Sciences,1179,kt-scrape-excel
2011,Systemwide,Professional,3842,kt-scrape-excel
2011,Systemwide,Social Sciences,-5974,kt-scrape-excel
2011,Berkeley,Engineering & CS,114,kt-scrape-excel
2011,Berkeley,Fine Arts,6901,kt-scrape-excel
2011,Berkeley,Health Sciences,2809,kt-scrape-excel
2011,Berkeley,Humanities,6986,kt-scrape-excel
2011,Berkeley,Life Sciences,15575,kt-scrape-excel
2011,Berkeley,Other,6107,kt-scrape-excel
2011,Berkeley,Physical Sciences,10969,kt-scrape-excel
2011,Berkeley,Social Sciences,13572,kt-scrape-excel
2011,Davis,Engineering & CS,-765,kt-scrape-excel
2011,Davis,Fine Arts,14011,kt-scrape-excel
2011,Davis,Humanities,12352,kt-scrape-excel
2011,Davis,Life Sciences,7267,kt-scrape-excel
2011,Davis,Other,13395,kt-scrape-excel
2011,Davis,Physical Sciences,12314,kt-scrape-excel
2011,Davis,Professional,3787,kt-scrape-excel
2011,Davis,Social Sciences,10658,kt-scrape-excel
2011,Irvine,Engineering & CS,-18845,kt-scrape-excel
2011,Irvine,Fine Arts,7937,kt-scrape-excel
2011,Irvine,Humanities,8115,kt-scrape-excel
2011,Irvine,Life Sciences,-5368,kt-scrape-excel
2011,Irvine,Other,-14944,kt-scrape-excel
2011,Irvine,Physical Sciences,-14371,kt-scrape-excel
2011,Irvine,Professional,3643,kt-scrape-excel
2011,Irvine,Social Sciences,-8626,kt-scrape-excel
2011,Los Angeles,Engineering & CS,-11381,kt-scrape-excel
2011,Los Angeles,Fine Arts,4345,kt-scrape-excel
2011,Los Angeles,Health Sciences,1053,kt-scrape-excel
2011,Los Angeles,Humanities,6171,kt-scrape-excel
2011,Los Angeles,Life Sciences,4230,kt-scrape-excel
2011,Los Angeles,Other,6800,kt-scrape-excel
2011,Los Angeles,Physical Sciences,179,kt-scrape-excel
2011,Los Angeles,Social Sciences,11234,kt-scrape-excel
2011,Merced,Engineering & CS,15962,kt-scrape-excel
2011,Merced,Life Sciences,18471,kt-scrape-excel
2011,Merced,Physical Sciences,15918,kt-scrape-excel
2011,Merced,Social Sciences,18883,kt-scrape-excel
2011,Riverside,Engineering & CS,-13617,kt-scrape-excel
2011,Riverside,Fine Arts,3451,kt-scrape-excel
2011,Riverside,Humanities,6570,kt-scrape-excel
2011,Riverside,Life Sciences,-832,kt-scrape-excel
2011,Riverside,Physical Sciences,11,kt-scrape-excel
2011,Riverside,Social Sciences,-13127,kt-scrape-excel
2011,San Diego,Engineering & CS,-7254,kt-scrape-excel
2011,San Diego,Fine Arts,10980,kt-scrape-excel
2011,San Diego,Humanities,13189,kt-scrape-excel
2011,San Diego,Life Sciences,4063,kt-scrape-excel
2011,San Diego,Other,-8152,kt-scrape-excel
2011,San Diego,Physical Sciences,-2949,kt-scrape-excel
2011,San Diego,Social Sciences,-3429,kt-scrape-excel
2011,San Francisco,Health Sciences,1928,kt-scrape-excel
2011,San Francisco,Life Sciences,-15752,kt-scrape-excel
2011,Santa Barbara,Engineering & CS,-13097,kt-scrape-excel
2011,Santa Barbara,Fine Arts,10295,kt-scrape-excel
2011,Santa Barbara,Humanities,-4471,kt-scrape-excel
2011,Santa Barbara,Life Sciences,-8950,kt-scrape-excel
2011,Santa Barbara,Other,3356,kt-scrape-excel
2011,Santa Barbara,Physical Sciences,-3510,kt-scrape-excel
2011,Santa Barbara,Social Sciences,-15947,kt-scrape-excel
2011,Santa Cruz,Engineering & CS,2168,kt-scrape-excel
2011,Santa Cruz,Fine Arts,12839,kt-scrape-excel
2011,Santa Cruz,Humanities,10874,kt-scrape-excel
2011,Santa Cruz,Life Sciences,17250,kt-scrape-excel
2011,Santa Cruz,Physical Sciences,9553,kt-scrape-excel
2011,Santa Cruz,Social Sciences,762,kt-scrape-excel
2012,Systemwide,Engineering & CS,-9688,kt-scrape-excel
2012,Systemwide,Fine Arts,10090,kt-scrape-excel
2012,Systemwide,Health Sciences,-5578,kt-scrape-excel
2012,Systemwide,Humanities,10638,kt-scrape-excel
2012,Systemwide,Joint/Unknown,-10514,kt-scrape-excel
2012,Systemwide,Life Sciences,2498,kt-scrape-excel
2012,Systemwide,Other,-1669,kt-scrape-excel
2012,Systemwide,Physical Sciences,780,kt-scrape-excel
2012,Systemwide,Professional,10359,kt-scrape-excel
2012,Systemwide,Social Sciences,-6526,kt-scrape-excel
2012,Berkeley,Engineering & CS,635,kt-scrape-excel
2012,Berkeley,Fine Arts,7058,kt-scrape-excel
2012,Berkeley,Health Sciences,10310,kt-scrape-excel
2012,Berkeley,Humanities,4975,kt-scrape-excel
2012,Berkeley,Life Sciences,17594,kt-scrape-excel
2012,Berkeley,Other,6162,kt-scrape-excel
2012,Berkeley,Physical Sciences,-2875,kt-scrape-excel
2012,Berkeley,Social Sciences,4752,kt-scrape-excel
2012,Davis,Engineering & CS,2200,kt-scrape-excel
2012,Davis,Fine Arts,16256,kt-scrape-excel
2012,Davis,Humanities,15793,kt-scrape-excel
2012,Davis,Life Sciences,8779,kt-scrape-excel
2012,Davis,Other,9737,kt-scrape-excel
2012,Davis,Physical Sciences,5305,kt-scrape-excel
2012,Davis,Professional,11732,kt-scrape-excel
2012,Davis,Social Sciences,14887,kt-scrape-excel
2012,Irvine,Engineering & CS,-18669,kt-scrape-excel
2012,Irvine,Fine Arts,8541,kt-scrape-excel
2012,Irvine,Humanities,9288,kt-scrape-excel
2012,Irvine,Joint/Unknown,-4562,kt-scrape-excel
2012,Irvine,Life Sciences,-2285,kt-scrape-excel
2012,Irvine,Other,-14097,kt-scrape-excel
2012,Irvine,Physical Sciences,-15593,kt-scrape-excel
2012,Irvine,Professional,-1208,kt-scrape-excel
2012,Irvine,Social Sciences,-12442,kt-scrape-excel
2012,Los Angeles,Engineering & CS,-13673,kt-scrape-excel
2012,Los Angeles,Fine Arts,2139,kt-scrape-excel
2012,Los Angeles,Health Sciences,-9319,kt-scrape-excel
2012,Los Angeles,Humanities,8936,kt-scrape-excel
2012,Los Angeles,Joint/Unknown,-4553,kt-scrape-excel
2012,Los Angeles,Life Sciences,6605,kt-scrape-excel
2012,Los Angeles,Physical Sciences,2518,kt-scrape-excel
2012,Los Angeles,Social Sciences,14788,kt-scrape-excel
2012,Merced,Engineering & CS,11739,kt-scrape-excel
2012,Merced,Life Sciences,22770,kt-scrape-excel
2012,Merced,Physical Sciences,20479,kt-scrape-excel
2012,Merced,Social Sciences,21015,kt-scrape-excel
2012,Riverside,Engineering & CS,-14610,kt-scrape-excel
2012,Riverside,Fine Arts,13824,kt-scrape-excel
2012,Riverside,Humanities,12552,kt-scrape-excel
2012,Riverside,Life Sciences,-11148,kt-scrape-excel
2012,Riverside,Physical Sciences,-6316,kt-scrape-excel
2012,Riverside,Social Sciences,-16231,kt-scrape-excel
2012,San Diego,Engineering & CS,-8708,kt-scrape-excel
2012,San Diego,Fine Arts,12062,kt-scrape-excel
2012,San Diego,Humanities,18496,kt-scrape-excel
2012,San Diego,Life Sciences,-1031,kt-scrape-excel
2012,San Diego,Other,-22703,kt-scrape-excel
2012,San Diego,Physical Sciences,1004,kt-scrape-excel
2012,San Diego,Social Sciences,-19072,kt-scrape-excel
2012,San Francisco,Engineering & CS,-24949,kt-scrape-excel
2012,San Francisco,Health Sciences,41,kt-scrape-excel
2012,San Francisco,Joint/Unknown,-28812,kt-scrape-excel
2012,San Francisco,Life Sciences,22683,kt-scrape-excel
2012,San Francisco,Other,-25734,kt-scrape-excel
2012,Santa Barbara,Engineering & CS,-8247,kt-scrape-excel
2012,Santa Barbara,Fine Arts,11561,kt-scrape-excel
2012,Santa Barbara,Humanities,1600,kt-scrape-excel
2012,Santa Barbara,Life Sciences,-8393,kt-scrape-excel
2012,Santa Barbara,Other,14786,kt-scrape-excel
2012,Santa Barbara,Physical Sciences,-1369,kt-scrape-excel
2012,Santa Barbara,Social Sciences,-20637,kt-scrape-excel
2012,Santa Cruz,Engineering & CS,1255,kt-scrape-excel
2012,Santa Cruz,Fine Arts,14063,kt-scrape-excel
2012,Santa Cruz,Humanities,12787,kt-scrape-excel
2012,Santa Cruz,Life Sciences,13619,kt-scrape-excel
2012,Santa Cruz,Physical Sciences,16230,kt-scrape-excel
2012,Santa Cruz,Social Sciences,9855,kt-scrape-excel
2013,Systemwide,Engineering & CS,-12713,kt-scrape-excel
2013,Systemwide,Fine Arts,10312,kt-scrape-excel
2013,Systemwide,Health Sciences,-7981,kt-scrape-excel
2013,Systemwide,Humanities,11349,kt-scrape-excel
2013,Systemwide,Joint/Unknown,-4606,kt-scrape-excel
2013,Systemwide,Life Sciences,3798,kt-scrape-excel
2013,Systemwide,Other,98,kt-scrape-excel
2013,Systemwide,Physical Sciences,-2288,kt-scrape-excel
2013,Systemwide,Professional,7495,kt-scrape-excel
2013,Systemwide,Social Sciences,-1266,kt-scrape-excel
2013,Berkeley,Engineering & CS,-5157,kt-scrape-excel
2013,Berkeley,Fine Arts,4871,kt-scrape-excel
2013,Berkeley,Health Sciences,7899,kt-scrape-excel
2013,Berkeley,Humanities,8200,kt-scrape-excel
2013,Berkeley,Life Sciences,20750,kt-scrape-excel
2013,Berkeley,Other,6383,kt-scrape-excel
2013,Berkeley,Physical Sciences,-4602,kt-scrape-excel
2013,Berkeley,Social Sciences,5883,kt-scrape-excel
2013,Davis,Engineering & CS,159,kt-scrape-excel
2013,Davis,Fine Arts,15365,kt-scrape-excel
2013,Davis,Humanities,16159,kt-scrape-excel
2013,Davis,Joint/Unknown,-23087,kt-scrape-excel
